sequence	VoyageID	Lat	LatType	Lon	LonType	Day	Month	Year	SpeciesName	Number_Whales	Vessel1	Vessel2	Ocean	Basin	DegLat	MinLat	NS	DegLong	MinLong	EW	PosType	Wording	Remarks
11101	AV05749	-23.600	L	37.000	L	7	5	1834	Sperm	5			Indian	Indian	23	36	S	37	0	E	L:L		
12323	AV05749	-25.833	L	36.000	L	1	6	1834	Sperm	3			Indian	Indian	25	50	S	36	0	E	L:L		
11468	AV05749	-26.867	L	34.500	L	10	6	1834	Sperm	1			Indian	Indian	26	52	S	34	30	E	L:L		
11833	AV05749	-25.867	L	35.750	L	15	6	1834	Sperm	1			Indian	Indian	25	52	S	35	45	E	L:L		found dead
11105	AV05749	-26.667	L	34.867	L	28	6	1834	Sperm	1			Indian	Indian	26	40	S	34	52	E	L:L		
9647	AV05749	-26.383	L	34.833	L	2	7	1834	Sperm	2			Indian	Indian	26	23	S	34	50	E	L:L		
9648	AV05749	-26.500	L	34.333	L	5	7	1834	Sperm	1			Indian	Indian	26	30	S	34	20	E	L:L		found dead
9649	AV05749	-26.517	L	33.500	L	14	7	1834	Sperm	2			Indian	Indian	26	31	S	33	30	E	L:L		
2874	AV05749	-28.000	L	39.833	L	21	9	1834	Right	1			Indian	Indian	28	0	S	39	50	E	L:L		
2832	AV05749	-39.150	L	40.983	L	24	9	1834	Right	3			Indian	Indian	39	9	S	40	59	E	L:L		
2629	AV05749	-39.517	L	41.167	L	25	9	1834	Right	2			Indian	Indian	39	31	S	41	10	E	L:L		
1171	AV05749	-39.383	L	41.033	L	26	9	1834	Right	2			Indian	Indian	39	23	S	41	2	E	L:L		
4452	AV05749	-39.300	L	39.333	L	29	9	1834	Right	2			Indian	Indian	39	18	S	39	20	E	L:L		
4453	AV05749	-39.250	L	39.000	L	30	9	1834	Right	1			Indian	Indian	39	15	S	39	0	E	L:L		
2267	AV05749	-38.500	L	41.600	L	8	10	1834	Right	1			Indian	Indian	38	30	S	41	36	E	L:L		
1175	AV05749	-30.733	L	41.233	L	9	10	1834	Right	1			Indian	Indian	30	44	S	41	14	E	L:L		
4820	AV05749	-38.717	L	42.000	L	12	10	1834	Right	1			Indian	Indian	38	43	S	42	0	E	L:L		
4092	AV05749	-38.667	L	41.833	L	13	10	1834	Right	1			Indian	Indian	38	40	S	41	50	E	L:L		
4093	AV05749	-38.667	L	42.333	L	15	10	1834	Right	1			Indian	Indian	38	40	S	42	20	E	L:L		
1907	AV05749	-38.333	L	42.000	L	17	10	1834	Right	1			Indian	Indian	38	20	S	42	0	E	L:L		
1179	AV05749	-37.883	L	42.250	L	6	11	1834	Right	1			Indian	Indian	37	53	S	42	15	E	L:L		
2153	AV05749	-38.333	L	43.000	L	15	11	1834	Right	1			Indian	Indian	38	20	S	43	0	E	L:L		
4461	AV05749	-38.500	L	44.500	L	18	11	1834	Right	1			Indian	Indian	38	30	S	44	30	E	L:L		
451	AV05749	-38.500	L	45.000	L	19	11	1834	Right	1			Indian	Indian	38	30	S	45	0	E	L:L		
4828	AV05749	-38.467	L	44.950	L	20	11	1834	Right	1			Indian	Indian	38	28	S	44	57	E	L:L		found dead
4219	AV05749	-38.300	L	45.500	L	21	11	1834	Right	1			Indian	Indian	38	18	S	45	30	E	L:L		
11722	AV05783	-35.833	L	-1.417	L	9	11	1857	Sperm	2			Atlantic	South Atlantic	35	50	S	1	25	W	L:L		one of each species taken on same day in the same chase
942	AV05783	-36.133	L	6.083	L	29	11	1857	Right	1			Atlantic	South Atlantic	36	8	S	6	5	E	L:L		
1186	AV05783	-48.000	L	70.167	L	26	12	1857	Right	1			Indian	Indian	48	0	S	70	10	E	L:L		
495	AV05783	-47.600	L	70.367	L	6	1	1858	Right	1			Indian	Indian	47	36	S	70	22	E	L:L		
4225	AV05783	-47.600	L	70.367	L	7	1	1858	Right	1			Indian	Indian	47	36	S	70	22	E	L:L		
